neighbourhood_name,neighbourhood_id,neighbourhood_percent,spending_less_than_30_of,30_to_less_than_100,spending_30_or_more_of_i,total_owner_and_tenant_h
ABBOTTSFIELD,2010,0.099,455,150,190,650
ALBANY,3460,0.088,430,85,100,530
ALBERTA AVENUE,1010,0.085,2090,690,785,2875
ALDERGROVE,4020,0.045,1500,375,425,1925
ALLARD,5458,0.03,865,200,225,1090
ALLENDALE,5010,0.081,1005,300,340,1350
AMBLESIDE,5505,0.035,1700,365,465,2165
ARGYLL,6010,0.06,305,40,40,340
ASPEN GARDENS,5020,0.023,570,70,80,655
ATHLONE,3010,0.035,910,240,265,1175
AVONMORE,6020,0.065,785,165,190,975
BALWIN,2020,0.088,1155,290,355,1515
BANNERMAN,2030,0.072,860,245,255,1110
BARANOW,3020,0.081,530,250,280,810
BATURYN,3030,0.043,1440,295,305,1745
BEACON HEIGHTS,2040,0.058,985,215,230,1220
BEARSPAW,5030,0.021,715,95,105,825
BEAUMARIS,3040,0.066,1460,370,405,1865
BELGRAVIA,5040,0.039,730,145,180,905
BELLE RIVE,2050,0.031,995,170,190,1180
BELLEVUE,2060,0.044,405,85,105,505
BELMEAD,4040,0.044,1320,310,330,1645
BELMONT,2070,0.071,1460,455,510,1965
BELVEDERE,2080,0.084,1520,595,655,2180
BERGMAN,2090,0.046,480,90,100,575
BEVERLY HEIGHTS,2100,0.061,1135,400,465,1600
BISSET,6030,0.066,1060,250,295,1350
BLACKBURNE,5590,0.031,440,120,130,570
BLACKMUD CREEK,5453,0.043,1050,175,190,1240
BLUE QUILL,5060,0.059,1340,415,490,1830
BLUE QUILL ESTATES,5070,0.066,425,80,95,525
BONNIE DOON,6040,0.06,1550,495,575,2125
BOYLE STREET,1020,0.116,1725,1215,1365,3090
BRANDER GARDENS,5080,0.06,785,240,275,1055
BRECKENRIDGE GREENS,4700,0.038,610,115,120,725
BRINTNELL,2110,0.024,1605,450,490,2090
BRITANNIA YOUNGSTOWN,4060,0.076,1470,635,715,2185
BROOKSIDE,5090,0,625,65,85,705
BULYEA HEIGHTS,5100,0.018,1105,65,90,1190
CAERNARVON,3060,0.052,1200,330,375,1580
CALDER,3070,0.072,1215,425,510,1720
CALLAGHAN,5457,0.052,855,255,295,1150
CALLINGWOOD NORTH,4070,0.073,775,280,315,1090
CALLINGWOOD SOUTH,4080,0.091,1875,865,1000,2875
CAMERON HEIGHTS,4466,0.021,460,110,120,575
CANON RIDGE,2120,0.039,790,235,265,1055
CANORA,4090,0.087,980,445,505,1485
CANOSSA,3080,0.04,900,175,180,1080
CAPILANO,6061,0.023,985,85,105,1090
CARLISLE,3090,0.049,1045,275,325,1370
CARLTON,3470,0.05,1450,350,365,1815
