School Code,School Name,Address,Postal Code,EPSB Ward,City Ward,School Website,School EMail,School Phone,Grades,Program,District Centre,Childcare,POINT_X,POINT_Y,New Georeferenced Column,Public_or_cath
1004,George P. Nicholson School,1120 - 113 Street NW,T6J7J4,EPSB WARD H,WARD 09,http://georgepnicholson.epsb.ca,georgepnicholson@epsb.ca,(780) 439-9314,K to Gr 6,,,Yes,-113.5254553,53.44275285,POINT (-113.525455297 53.4427528462),Public
7195,McKee School,10725 - 51 Avenue NW,T6H0L3,EPSB WARD F,WARD 10,http://mckee.epsb.ca/,mckee@epsb.ca,(780) 435-7140,K to Gr 6,,BLA,Yes,-113.5088307,53.48768626,POINT (-113.508830674 53.4876862593),Public
7573,John D Bracco School,3150 - 139 Avenue NW,T5Y2P7,EPSB WARD B,WARD 04,http://jdbracco.epsb.ca,jdbracco@epsb.ca,(780) 475-1760,Gr 7-9,PAP,BAO/OPP,No,-113.3921018,53.603521,POINT (-113.392101802 53.6035209984),Public
1458,A. Blair McPherson School,430 Tamarack Green NW,T6T0J4,EPSB WARD G,WARD 12,http://ablairmcpherson.epsb.ca/,ablairmcpherson@epsb.ca,(780) 468-4361,K to Gr 9,,,No,-113.3618197,53.46964159,POINT (-113.361819679 53.4696415893),Public
7567,Horse Hill School,19355 Meridian Street NW,T5Y6E5,EPSB WARD B,WARD 04,http://horsehill.epsb.ca,horsehill@epsb.ca,(780) 472-6029,K to Gr 6,COG/FDK,,Yes,-113.343731,53.65676027,POINT (-113.343731001 53.6567602668),Public
7187,Princeton School,7720 - 130 Avenue NW,T5C1Y2,EPSB WARD B,WARD 07,http://princeton.epsb.ca,princeton@epsb.ca,(780) 476-2344,K to Gr 6,FDK,PKP/INT,Yes,-113.4596977,53.58976591,POINT (-113.459697737 53.589765906400004),Public
7277,Lago Lindo School,17303 - 95 Street NW,T5Z2Z1,EPSB WARD A,WARD 03,http://lagolindo.epsb.ca/,lagolindo@epsb.ca,(780) 456-6980,K to Gr 6,,BAO,No,-113.4874774,53.63575864,POINT (-113.48747736 53.6357586417),Public
7182,Windsor Park School,8720 - 118 Street NW,T6G1T5,EPSB WARD F,WARD 08,http://windsorpark.epsb.ca/,windsor@epsb.ca,(780) 433-3924,K to Gr 6,,,Yes,-113.5348681,53.52393016,POINT (-113.534868074 53.5239301564),Public
7500,Allendale School,6415 - 106 Street NW,T6H2V5,EPSB WARD F,WARD 10,http://allendale.epsb.ca,allendale@epsb.ca,(780) 434-6756,Gr 7-9,BGE/COG,INT,No,-113.5037485,53.5012013,POINT (-113.50374848 53.5012012959),Public
7724,Learning Store at Blue Quill,284 Saddleback Road NW,T6J4R7,EPSB WARD F,WARD 10,http://outreach.epsb.ca,lsbluequill@epsb.ca,(780) 413-0263,Gr 10-12,,,No,-113.529967,53.46109479,POINT (-113.52996703 53.46109479310001),Public
7270,Tipaskan School,1200 Lakewood Road North NW,T6K4A3,EPSB WARD I,WARD 11,http://tipaskan.epsb.ca,tipaskan@epsb.ca,(780) 462-5031,K to Gr 6,FDK,PKP/INT,No,-113.4589805,53.46302322,POINT (-113.45898046000002 53.4630232185),Public
7550,Avalon Junior School,5425 - 114 Street NW,T6H3M1,EPSB WARD F,WARD 10,http://avalon.epsb.ca/,avalon@epsb.ca,(780) 434-8402,Gr 7-9,FIM,BLA,No,-113.5244202,53.49185464,POINT (-113.524420249 53.4918546392),Public
1282,Edmonton Christian Northeast School,5940 - 159 Avenue NW,T5Y0J5,EPSB WARD B,WARD 04,http://edmchristian.net,ecsne@epsb.ca,(780) 408-7942,K to Gr 9,,,No,-113.4318172,53.62032929,POINT (-113.431817218 53.6203292882),Public
7931,Meadowlark Christian School,9825-158 Street NW,T5P2X4,EPSB WARD E,WARD 01,http://k-9christian.com,meadowlarkchristian@epsb.ca,(780) 483-6476,K to Gr 9,,,No,-113.5933341,53.53670881,POINT (-113.593334143 53.536708805900005),Public
7274,Minchau School,3615 Millwoods Road East NW,T6L5X2,EPSB WARD G,WARD 12,http://minchau.epsb.ca,minchau@epsb.ca,(780) 461-0616,K to Gr 6,,BLA,No,-113.4083636,53.46771456,POINT (-113.408363596 53.4677145604),Public
7232,Rideau Park School,10605 - 42 Avenue NW,T6J3Z9,EPSB WARD F,WARD 10,http://rideaupark.epsb.ca,rideaupark@epsb.ca,(780) 437-0010,K to Gr 6,BGE,INT,Yes,-113.5055133,53.47860442,POINT (-113.50551331900002 53.47860441900001),Public
7235,Satoo School,8515 - 17 Avenue NW,T6K2C7,EPSB WARD I,WARD 11,http://satoo.epsb.ca,satoo@epsb.ca,(780) 462-5125,K to Gr 6,,BLA,No,-113.4605512,53.4468606,POINT (-113.460551248 53.4468605988),Public
7194,Delwood School,7315 Delwood Road NW,T5C3A9,EPSB WARD B,WARD 07,http://delwood.epsb.ca,delwood@epsb.ca,(780) 476-3969,K to Gr 6,FIM,INT,Yes,-113.4553592,53.59642459,POINT (-113.455359228 53.5964245923),Public
7504,Brightview School,15425 - 106 Avenue NW,T5P0W3,EPSB WARD C,WARD 01,http://brightview.epsb.ca,brightview@epsb.ca,(780) 484-6631,K to Gr 6,FDK,BLA/OPP,No,-113.5876974,53.5490519,POINT (-113.587697368 53.5490519008),Public
