"School Code","School Name","Address","Postal Code","EPSB Ward","City Ward","School Website","School EMail","School Phone","Grades","Program","District Centre","Childcare","POINT_X","POINT_Y","New Georeferenced Column"
"1004","George P. Nicholson School","1120 - 113 Street NW","T6J7J4","EPSB WARD H","WARD 09","http://georgepnicholson.epsb.ca","georgepnicholson@epsb.ca","(780) 439-9314","K to Gr 6",,,"Yes","-113.525455297","53.4427528462","POINT (-113.525455297 53.4427528462)"
"7195","McKee School","10725 - 51 Avenue NW","T6H0L3","EPSB WARD F","WARD 10","http://mckee.epsb.ca/","mckee@epsb.ca","(780) 435-7140","K to Gr 6",,"BLA","Yes","-113.508830674","53.4876862593","POINT (-113.508830674 53.4876862593)"
"7573","John D Bracco School","3150 - 139 Avenue NW","T5Y2P7","EPSB WARD B","WARD 04","http://jdbracco.epsb.ca","jdbracco@epsb.ca","(780) 475-1760","Gr 7-9","PAP","BAO/OPP","No","-113.392101802","53.6035209984","POINT (-113.392101802 53.6035209984)"
"1458","A. Blair McPherson School","430 Tamarack Green NW","T6T0J4","EPSB WARD G","WARD 12","http://ablairmcpherson.epsb.ca/","ablairmcpherson@epsb.ca","(780) 468-4361","K to Gr 9",,,"No","-113.361819679","53.4696415893","POINT (-113.361819679 53.4696415893)"
"7567","Horse Hill School","19355 Meridian Street NW","T5Y6E5","EPSB WARD B","WARD 04","http://horsehill.epsb.ca","horsehill@epsb.ca","(780) 472-6029","K to Gr 6","COG/FDK",,"Yes","-113.343731001","53.6567602668","POINT (-113.343731001 53.6567602668)"
"7187","Princeton School","7720 - 130 Avenue NW","T5C1Y2","EPSB WARD B","WARD 07","http://princeton.epsb.ca","princeton@epsb.ca","(780) 476-2344","K to Gr 6","FDK","PKP/INT","Yes","-113.459697737","53.5897659064","POINT (-113.459697737 53.589765906400004)"
"7277","Lago Lindo School","17303 - 95 Street NW","T5Z2Z1","EPSB WARD A","WARD 03","http://lagolindo.epsb.ca/","lagolindo@epsb.ca","(780) 456-6980","K to Gr 6",,"BAO","No","-113.48747736","53.6357586417","POINT (-113.48747736 53.6357586417)"
"7182","Windsor Park School","8720 - 118 Street NW","T6G1T5","EPSB WARD F","WARD 08","http://windsorpark.epsb.ca/","windsor@epsb.ca","(780) 433-3924","K to Gr 6",,,"Yes","-113.534868074","53.5239301564","POINT (-113.534868074 53.5239301564)"
"7500","Allendale School","6415 - 106 Street NW","T6H2V5","EPSB WARD F","WARD 10","http://allendale.epsb.ca","allendale@epsb.ca","(780) 434-6756","Gr 7-9","BGE/COG","INT","No","-113.50374848","53.5012012959","POINT (-113.50374848 53.5012012959)"
"7724","Learning Store at Blue Quill","284 Saddleback Road NW","T6J4R7","EPSB WARD F","WARD 10","http://outreach.epsb.ca","lsbluequill@epsb.ca","(780) 413-0263","Gr 10-12",,,"No","-113.52996703","53.4610947931","POINT (-113.52996703 53.46109479310001)"
"7270","Tipaskan School","1200 Lakewood Road North NW","T6K4A3","EPSB WARD I","WARD 11","http://tipaskan.epsb.ca","tipaskan@epsb.ca","(780) 462-5031","K to Gr 6","FDK","PKP/INT","No","-113.45898046","53.4630232185","POINT (-113.45898046000002 53.4630232185)"
"7550","Avalon Junior School","5425 - 114 Street NW","T6H3M1","EPSB WARD F","WARD 10","http://avalon.epsb.ca/","avalon@epsb.ca","(780) 434-8402","Gr 7-9","FIM","BLA","No","-113.524420249","53.4918546392","POINT (-113.524420249 53.4918546392)"
