"ID","Name","Address","Type","Surface Type","Accessibility","Owner","Maintainer","Redevelopment Date","Latitude","Longitude","Location","Geometry Point","Neighbourhood ID","Neighbourhood Name"
"699","High Park Community Spray Deck","11032 - 154 STREET NW T5P2K1","Spray Deck","Concrete","Wheelchair Accessible","Parks","Parks","2001/09/13","53.55726642962","-113.58824908199","(53.557266429621436, -113.58824908199034)","POINT (-113.58824908199034 53.557266429621436)","4200","HIGH PARK"
"3653","Rosenthal Spray Deck","1070 Rosenthal Blvd NW","Spray Deck","Concrete","Wheelchair Accessible","Parks","Parks","2015/10/02","53.51715167365","-113.69888351701","(53.51715167364844, -113.69888351701036)","POINT (-113.69888351701036 53.51715167364844)","4750","ROSENTHAL"
"189","Kensington Spray Deck","12130 - 134B AVENUE NW","Spray Deck","Pour In Place Rubber","Wheelchair Accessible","Parks","Parks","2013/09/01","53.59582100487","-113.53111849615","(53.59582100486922, -113.53111849615006)","POINT (-113.53111849615006 53.59582100486922)","3250","KENSINGTON"
"3821","Inglewood Community Spray Deck","12525 116 Ave NW","Spray Deck","Concrete","Wheelchair Accessible","Parks","Parks","2023/09/27","53.56635448884","-113.53897219467","(53.566354488842805, -113.5389721946687)","POINT (-113.5389721946687 53.566354488842805)","3240","INGLEWOOD"
"3000","Kenilworth Spray Deck","7104 - 87 AVENUE NW T6B3C2","Spray Deck","Pour In Place Rubber","Wheelchair Accessible","Parks","Parks","2006/09/01","53.52256197983","-113.4373283634","(53.52256197983131, -113.43732836339588)","POINT (-113.43732836339588 53.52256197983131)","6350","KENILWORTH"
"826","Gallagher Spray Deck","9325 - 97 AVENUE NW","Spray Deck","Pour In Place Rubber","Wheelchair Accessible","Parks","Parks","2011/12/31","53.53591871918","-113.4718143699","(53.53591871918118, -113.47181436990076)","POINT (-113.47181436990076 53.53591871918118)","6070","CLOVERDALE"
"2300","McKernan Spray Deck","7535 - 112 STREET NW","Spray Deck","Pour In Place Rubber","Wheelchair Accessible","Parks","Parks","2012/09/01","53.51128652846","-113.51926518961","(53.511286528464865, -113.5192651896121)","POINT (-113.5192651896121 53.511286528464865)","5290","MCKERNAN"
"3647","Spruce Avenue Spray Deck","11424 - 102 Street NW","Spray Deck","Concrete","Wheelchair Accessible","Parks","Parks","2013/09/01","53.56537259079","-113.49771049323","(53.56537259079458, -113.49771049322538)","POINT (-113.49771049322538 53.56537259079458)","1230","SPRUCE AVENUE"
"2762","Riverdale Spray Deck","9231 - 100 AVENUE NW T5H0A4","Spray Deck","Concrete","Wheelchair Accessible","Parks","Parks","2005/09/01","53.54152208048","-113.47307707388","(53.54152208048468, -113.47307707387876)","POINT (-113.47307707387876 53.54152208048468)","1210","RIVERDALE"
"630","Greenfield Spray Deck","3755 - 114 STREET NW","Spray Deck","Concrete","Wheelchair Accessible","Parks","Parks","2009/09/01","53.4734942164","-113.52563879025","(53.4734942164016, -113.52563879024851)","POINT (-113.52563879024851 53.4734942164016)","5220","GREENFIELD"
