Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location,Owner,Nearest Address,Life Cycle Indicator
17418,BLACK,> 95 L/s,2003,53.55906,-113.53761,POINT (-113.53761 53.55906),EPCOR,12430 111 AVENUE NW,FAC
2713,BLUE,> 95 L/s,1982,53.56065,-113.56758,POINT (-113.56757 53.560654),EPCOR,11208 143 STREET NW,FAC
10115,BLUE,> 95 L/s,1978,53.57028,-113.59965,POINT (-113.59965 53.570282),EPCOR,16103 118 AVENUE NW,FAC
847,BLUE,> 95 L/s,2007,53.52736,-113.48580,POINT (-113.485794 53.527363),EPCOR,9203 99 STREET NW,FAC
17130,BLACK,> 95 L/s,2002,53.42893,-113.46490,POINT (-113.4649 53.428932),EPCOR,416 86 STREET SW,FAC
25751,BLUE,> 95 L/s,2018,53.57668,-113.48040,POINT (-113.4804 53.576687),EPCOR,9008 122 AVENUE NW,FAC
19876,BLUE,> 95 L/s,2013,53.64362,-113.48611,POINT (-113.486115 53.643616),EPCOR,9407 181 AVENUE NW,FAC
24124,BLUE,> 95 L/s,2018,53.57002,-113.51742,POINT (-113.51742 53.57002),EPCOR,2704 BLATCHFORD ROAD NW,FAC
21980,BLUE,> 95 L/s,2014,53.42321,-113.42571,POINT (-113.425705 53.423214),EPCOR,256 WATT COMMON SW,FAC
19781,BLUE,> 95 L/s,2008,53.40522,-113.52771,POINT (-113.52771 53.405216),EPCOR,1643 CUNNINGHAM WAY SW,FAC
1189,BLUE,> 95 L/s,2009,53.55903,-113.54633,POINT (-113.546326 53.559032),EPCOR,11115 130 STREET NW,FAC
105,BLUE,> 95 L/s,1974,53.57488,-113.53006,POINT (-113.53006 53.57488),EPCOR,12021 121 STREET NW,FAC
13360,BLUE,> 95 L/s,2001,53.58155,-113.48122,POINT (-113.481224 53.581554),EPCOR,12432 91 STREET NW,FAC
19588,BLUE,> 95 L/s,2007,53.41909,-113.52003,POINT (-113.520035 53.419094),EPCOR,11314 13A AVENUE SW,FAC
19223,BLUE,> 95 L/s,2008,53.60413,-113.50414,POINT (-113.504135 53.604126),EPCOR,2581 PEGASUS BOULEVARD NW,FAC
6392,BLUE,> 95 L/s,1969,53.59029,-113.57581,POINT (-113.575806 53.59029),EPCOR,13040 148 STREET NW,FAC
6937,BLUE,> 95 L/s,1972,53.46125,-113.43849,POINT (-113.43849 53.46125),EPCOR,3011 68 STREET NW,FAC
8678,BLUE,> 95 L/s,2017,53.47663,-113.42509,POINT (-113.425095 53.476624),EPCOR,5724 40 AVENUE NW,FAC
6742,BLUE,> 95 L/s,1971,53.51843,-113.62333,POINT (-113.62333 53.518433),EPCOR,8419 175 STREET NW,FAC
23294,BLUE,> 95 L/s,2017,53.52985,-113.70524,POINT (-113.70524 53.52985),EPCOR,9396 224 STREET NW,FAC
