"POINT LOCATION","LATITUDE","LONGITUDE","LOCATION","ADDRESS","STATION_NAME"
"POINT (-113.47568151042482 53.428749796063194)","53.42874980","-113.47568151","(53.428749796063194, -113.47568151042482)","1203 ELLWOOD ROAD SW","27"
"POINT (-113.38694811633935 53.60134565637725)","53.60134566","-113.38694812","(53.60134565637725, -113.38694811633935)","13808 Victoria Trail NW","18"
"POINT (-113.58984273975588 53.555648590549175)","53.55564859","-113.58984274","(53.555648590549175, -113.58984273975588)","10949-156 Street NW","04"
"POINT (-113.68622546680321 53.5265093579123)","53.52650936","-113.68622547","(53.5265093579123, -113.68622546680321)","9204 213 ST NW","29"
"POINT (-113.49201888338703 53.52881511434489)","53.52881511","-113.49201888","(53.52881511434489, -113.49201888338703)","9315 - 101 Street","21"
"POINT (-113.59096637358441 53.45920550280962)","53.45920550","-113.59096637","(53.45920550280962, -113.59096637358441)","131 Haddow Close NW","24"
"POINT (-113.50091512824577 53.4543966858291)","53.45439669","-113.50091513","(53.4543966858291, -113.50091512824577)","2303-105 Street NW","20"
"POINT (-113.42863116023366 53.53841691396087)","53.53841691","-113.42863116","(53.53841691396087, -113.42863116023366)","6110 - 98 AVE NW","11"
"POINT (-113.53858104975804 53.41080418821162)","53.41080419","-113.53858105","(53.41080418821162, -113.53858104975804)","12110 26 AVENUE SW","28"
"POINT (-113.41929636540624 53.570043266682674)","53.57004327","-113.41929637","(53.570043266682674, -113.41929636540624)","5025-118 Avenue NW","07"
"POINT (-113.60567743900096 53.42545398091557)","53.42545398","-113.60567744","(53.42545398091557, -113.60567743900096)","3865 Allan Drive SW","31"
"POINT (-113.43504289801854 53.45967114781248)","53.45967115","-113.43504290","(53.45967114781248, -113.43504289801854)","2904-66 Street NW","16"
"POINT (-113.53457932519804 53.5421627279057)","53.54216273","-113.53457933","(53.5421627279057, -113.53457932519804)","10124-123 Street NW","22"
"POINT (-113.63038127788106 53.49665351355735)","53.49665351","-113.63038128","(53.49665351355735, -113.63038127788106)","6210-178 Street NW","19"
"POINT (-113.49299660558522 53.58549694439745)","53.58549694","-113.49299661","(53.58549694439745, -113.49299660558522)","12735-101 Street NW","10"
"POINT (-113.47626614165334 53.5174048224084)","53.51740482","-113.47626614","(53.5174048224084, -113.47626614165334)","8105-96 Street NW","06"
"POINT (-113.47023107354963 53.62821696669756)","53.62821697","-113.47023107","(53.62821696669756, -113.47023107354963)","8403-167 AVE","25"
"POINT (-113.48049338406081 53.561295756335205)","53.56129576","-113.48049338","(53.561295756335205, -113.48049338406081)","9020-111 Avenue NW","05"
"POINT (-113.59080564515989 53.52381364348464)","53.52381364","-113.59080565","(53.52381364348464, -113.59080564515989)","9020-156 Street NW","12"
"POINT (-113.48342629802026 53.54788515684706)","53.54788516","-113.48342630","(53.54788515684706, -113.48342629802026)","10351-96 Street NW","01"
"POINT (-113.45357984857213 53.60675415012312)","53.60675415","-113.45357985","(53.60675415012312, -113.45357984857213)","7312-144 Avenue","14"
"POINT (-113.41954918797457 53.49439663510459)","53.49439664","-113.41954919","(53.49439663510459, -113.41954918797457)","5604-50 Street NW","09"
"POINT (-113.5220605540565 53.512576545004585)","53.51257655","-113.52206055","(53.512576545004585, -113.5220605540565)","11226-76 Avenue NW","03"
"POINT (-113.62796231018741 53.54305317494303)","53.54305317","-113.62796231","(53.54305317494303, -113.62796231018741)","10130-178 Street NW","23"
"POINT (-113.41704464554698 53.61975843986504)","53.61975844","-113.41704465","(53.61975843986504, -113.41704464554698)","15850 - 50 St NW","30"
"POINT (-113.3927343947088 53.458086377492066)","53.45808638","-113.39273439","(53.458086377492066, -113.3927343947088)","2803-34 St NW","26"
"POINT (-113.50414476290258 53.54355029355009)","53.54355029","-113.50414476","(53.54355029355009, -113.50414476290258)","10217-107 Street NW","02"
"POINT (-113.48046665366263 53.4894576329681)","53.48945763","-113.48046665","(53.4894576329681, -113.48046665366263)","5120-97 Street NW","15"
"POINT (-113.51679519360515 53.61762225743832)","53.61762226","-113.51679519","(53.61762225743832, -113.51679519360515)","15505 Castle Downs Road NW","17"
"POINT (-113.53804517969594 53.477935812975545)","53.47793581","-113.53804518","(53.477935812975545, -113.53804517969594)","4035-119 Street NW","13"
