Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
35,,"Oct 27, 2023","Oct 31, 2026",Current,Truck Ban NB 178st Bridge over Whitemud Dr,178 Street NW,Whitemud Drive NW,,Directional Closure,Long Term Impact,Trucks will be banned on NB 178st Bridge over Whitemud Dr. Trucks will need to use the NB 170st Bridge.,Bridge Pier Repair,Construction,Southwest,Road,POINT (-113.62928766262445 53.52728592430678)
100,,"Apr 14, 2025","Apr 17, 2025",Complete,Lane Closure,Roper Road NW,84 Street NW,86 Street NW,Increased Travel Time,4 Days,Roper Road West bound meridian lane will be closed between 84 Street and 86 Street.,Landscaping,Construction,Central,Road,POINT (-113.44720754454099 53.49059798542371)
322,,,,,,,,,0,,,,,,,POINT (-113.51172761870947 53.52453816659729)
500,,"Aug 05, 2025","Nov 22, 2025",REVISED,EB 51 Ave west of 99 St (Lane Closures),51 Avenue NW,Gateway Boulevard,99 Street NW,Travel Delays,4 Months (24/7),EB 51 Ave to be reduced to a single lane from 10025 51 Ave to 50m West of 99 St.,DRAINAGE REPAIR REPLACE,Construction,Central,Road,POINT (-113.48610514386954 53.48814735941876)
450,,"Jul 01, 2025","Jul 02, 2025",Complete,University & 114 St SW Sidewalk Closure,University Avenue NW,114 Street NW,,Travel Delays,2 Days,At the intersection of 114 St and University Ave the sidewalk on the SW corner will remian closed to pedestrians. No pedestrian access over the LRT tracks and a pedestrian detour in place. Use other routes.,LRT Track Replacement,Construction,Central,Sidewalk,POINT (-113.52612008526982 53.51655669775728)
638,,"Aug 13, 2025","Aug 20, 2025",Current,163 St Reduced to 1 Lane Each Way,163 Street NW,106 Avenue NW,105 Avenue NW,Travel Delays,1 Week,163 St will be reduced to one lane each way from 106 Av to 105 Av. Use other routes.,Sewer Repair Replace,Construction,Northwest,Road,POINT (-113.60266474259265 53.549821661161644)
46,,"Apr 17, 2025","Apr 21, 2025",Complete,Turning lane closures,Ellerslie Road SW,141 Street SW,,Travel Delays,4 Days,April 17th at 7pm to April 21st at 6am. 141st Northbound to Ellerslie Rd Eastbound right turning lane closed. Ellerslie Rd Westbound to 141st Southbound left turning lane closed. All turning movements at intersection still maintianed. Expect delays.,Gas Line Install,Construction,Southwest,Road and Sidewalk,POINT (-113.56401383717034 53.42491443015256)
793,,"Aug 27, 2025","Oct 24, 2025",Current,EB 81 Ave; 104 St-Gateway Blvd Direction Closure,81 Avenue NW,104 Street NW,Gateway Boulevard,Directional Closure,2 Months (24/7),81 Avenue Eastbound will be closed between 104 Street and Gateway Boulevard.,Construction,Construction,Central,Road,POINT (-113.49754172850454 53.517079432144264)
571,,"Aug 09, 2025","Aug 09, 2025",Current,108 St Closure,108 Street NW,99 Avenue NW,Jasper Avenue NW,Total Closure,Sat. Aug 9 (11am-2pm),"108 St, 99 Av - Jasper Av will be totally closed as part of the Cariwest Parade route. No parking permitted. Vehicles will be tagged and towed.",Cariwest Parade,Special Event,Central,Road,POINT (-113.50659617479108 53.54093118360785)
441,,"Jun 27, 2025","Jun 27, 2025",Complete,Traffic Incident,YELLOWHEAD TRAIL NW,121 STREET NW,,Traffic Incident Delays,Unknown,Yellowhead Trail westbound - west of 121 St.,Traffic Incident,Traffic Incident,Southeast,Road,POINT (-113.52560756652626 53.580709986440034)
784,,"Sep 21, 2025","Sep 23, 2025",Current,Rossdale RD Lane Closures,Rossdale Road NW,96 Avenue NW,97 Avenue NW,Increased Travel Time,3 Nights,Road segment reduced to two lanes between 19:00-06:30hrs nightly.,Drainage Inspection,Construction,Central,Road,POINT (-113.49741821673959 53.53247505577111)
238,,"Jun 12, 2025","Jun 12, 2025",Complete,#1 Single lane closure Northbound,Whitemud Drive NW,Fox Drive NW,149 Street NW,Travel Delays,1 Day,June 12th from 9am - 3pm Only. #1 Northbound lane closure on Whitemud Drive from Fox Dr - 149 St. Speed reduced accordingly. Expect travel delays.,Pump Station Inspection,Construction,Southwest,Road,POINT (-113.57854280027952 53.51363442866546)
91,,"Apr 15, 2025","Apr 15, 2025",Complete,Gateway Lane Closure,Gateway Boulevard NW,76 Avenue NW,80 Avenue NW,Increased Travel Time,One Day,Road segment reduced to two lanes between 09:30-15:30hrs.,Drainage Inspection,Construction,Central,Road,POINT (-113.49461493329468 53.5123424561986)
715,,"Aug 23, 2025","Aug 23, 2025",Complete,110 St Total Closure,110 Street NW,76 Avenue NW,77 Avenue NW,Total Closure,1 Day(7am - 4pm),110 St from 76 Ave - 77 Ave will be closed to vehicles. Bike lane will be remain open during work. Use other routes.,Concrete Repair,Construction,Central,Road,POINT (-113.51502129689503 53.51225394833979)
539,,"Jul 22, 2025","Jul 26, 2025",Complete,Lane Closure,51 Avenue NW,99 Street NW,Gateway Boulevard NW,Travel Delays,4 Days,Westbound 51 Avenue will be reduced one lane between 99 Street and Gateway Boulveard.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.48610514386954 53.48814735941876)
67,,"Apr 08, 2025","Apr 09, 2025",Complete,Sask. DR Westbound Closure,Saskatchewan Drive NW,99 Street NW,Queen Elizabeth Park Road NW,Directional Closure,One Night,"Sask DR westbound, 99 ST - QEPR closed to vehicle traffic. Detour using other routes.",Drainage Inspection/Repairs,Construction,Central,Road,POINT (-113.48606575587903 53.52722761659918)
