Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Retail Sales (Minor),LEWIS ESTATES PHARMACY,31 - LEWIS ESTATES BOULEVARD NW,484073154-001,Issued,"Aug 22, 2024","Oct 02, 2025",,4710,Potter Greens,Nakota Isga,53.513849,-113.677046,"(53.51384905432644, -113.67704557051144)",1,POINT (-113.67704557051144 53.51384905432644)
"Personal Service, Health Enhancement Centre (Accredited)",M SQUARE WELLNESS,,497623601-001,Issued,"Feb 27, 2024","Feb 26, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",432 YUCK INC,,458299159-002,Issued,"Dec 29, 2022","Dec 28, 2024",,,,,,,,1,
Retail Sales (Minor),BUY & BEYOND GOLD SHOPPE,,395798785-002,Issued,"Apr 25, 2024","May 18, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",BAI MARR ENTERPRISES,,438689983-002,Issued,"Jul 04, 2024","Jul 05, 2025",,,,,,,,1,
Retail Sales (Minor),PRECIOUSFAMILY SHOP,,498500410-001,Issued,"Mar 05, 2024","Mar 04, 2025",,,,,,,,1,
Administration Office / Professional Service,B. BRIGGS TRUCKING LTD.,,488538371-001,Issued,"Oct 25, 2023","Oct 24, 2024",,,,,,,,1,
Personal Service,I-BROWS AND SPA,,393269036-002,Issued,"May 29, 2024","Jun 22, 2026",,,,,,,,1,
Personal Service,LEONY CUTS,,387349988-002,Issued,"May 13, 2024","May 11, 2025",,,,,,,,1,
Retail Sales (Minor),WALKER LAKE REMEDY'S RX,5007 - 22 AVENUE SW,388463272-002,Issued,"May 06, 2024","Mar 23, 2026",,6662,Walker,Karhiio,53.413301,-113.419866,"(53.4133010297076, -113.41986616155336)",1,POINT (-113.41986616155336 53.4133010297076)
Retail Sales (Minor),NADA MAKES UPCYCLING,,411141896-002,Issued,"Sep 06, 2023","Oct 12, 2024",,,,,,,,1,
Vehicle Sales and Rental,2266898 ALBERTA LTD.,,465809308-002,Issued,"Jan 25, 2024","Mar 08, 2025",,,,,,,,1,
Participant Recreation Service,FLEURISH MOVEMENT,,446844928-002,Renewal Notice,"Aug 24, 2023","Sep 12, 2024",,,,,,,,1,
