Race ID,Contest Name,Ward Name,Voting Station Type,Voting Station Description,Facility Name,Eligible Voters in Voting Subdivision,Acclaimed,Candidate Order,Candidate Last Name,Candidate First Name,Votes Received
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,1,BOUCHIER,Taz,7
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,2,BUTLER,Mike,21
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,3,COUSINEAU,Ron,9
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,4,FROST,Carla,13
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,5,IVESON,Don,567
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,6,KOZIAK,Don,54
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,7,LIGERTWOOD,Bob (Robert),8
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,8,MAK,Henry,1
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,9,MUGHAL,Fahad,11
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,10,NIKOLIC,Gordon,4
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,11,SHEWCHUK,Steven Charles,45
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,12,STEPHENS,Neil,3
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,13,THOMAS,Justin,11
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,14,Over Votes,,0
301,Mayor,City Wide,Regular,01-01 Westview Village Community Hall,Westview Village Community Hall,3343,No,15,Under Votes,,8
