election_date,state,county_name,jurisdiction,precinct_name,location_type,name,address
2020-11-03,AL,AUTAUGA,AUTAUGA,AUTAUGAVILLE VOL FIRE DEPT,election_day,AUTAUGAVILLE VOL FIRE DEPT,"2610 HIGHWAY 14 W, AUTAUGAVILLE, AL 36003"
2020-11-03,AL,AUTAUGA,AUTAUGA,BILLINGSLEY COMMUNITY CENTER,election_day,BILLINGSLEY COMMUNITY CENTER,"2159 COUNTY RD 37, BILLINGSLEY, AL 36006"
2020-11-03,AL,AUTAUGA,AUTAUGA,BOONE'S CHAPEL,election_day,BOONE'S CHAPEL,"2301 COUNTY RD 66, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,BOOTH VOL FIRE DEPT,election_day,BOOTH VOL FIRE DEPT,"1701 COUNTY ROAD 10, BOOTH, AL 36008"
2020-11-03,AL,AUTAUGA,AUTAUGA,CAMELLIA BAPTIST CH,election_day,CAMELLIA BAPTIST CH,"201 WOODVALE ROAD, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,CENTRAL AL ELECTRIC COOP BLDG,election_day,CENTRAL AL ELECTRIC COOP BLDG,"3613 HWY 14 W, AUTAUGAVILLE, AL 36003"
2020-11-03,AL,AUTAUGA,AUTAUGA,CHAMBER OF COMMERCE,election_day,CHAMBER OF COMMERCE,"131 NORTH COURT ST, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,COUNTY LINE BAPTIST CH,election_day,COUNTY LINE BAPTIST CH,"1524 COUNTY RD 39, DEATSVILLE, AL 36022"
2020-11-03,AL,AUTAUGA,AUTAUGA,DOSTER COMMUNITY CENTER,election_day,DOSTER COMMUNITY CENTER,"424 S. NORTHINGTON ST., PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,EAST MEMORIAL CHRISTIAN ACADEMY,election_day,EAST MEMORIAL CHRISTIAN ACADEMY,"1320 OLD RIDGE ROAD E, PRATTVILLE, AL 36066"
2020-11-03,AL,AUTAUGA,AUTAUGA,HERITAGE BAPTIST CHURCH,election_day,HERITAGE BAPTIST CHURCH,"1357 SOUTH MEMORIAL DRIVE, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,INDEPENDENCE VOL FIRE DEPT,election_day,INDEPENDENCE VOL FIRE DEPT,"1702 COUNTY ROAD 40 W, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,JONES COMM CENTER,election_day,JONES COMM CENTER,"848 CO RD 83, JONES, AL 36749"
2020-11-03,AL,AUTAUGA,AUTAUGA,MARBURY MIDDLE SCHOOL BAND ROOM,election_day,MARBURY MIDDLE SCHOOL BAND ROOM,"210 CO RD 20 E, MARBURY, AL 36051"
2020-11-03,AL,AUTAUGA,AUTAUGA,OLD KINGSTON VOL FIRE DEPT,election_day,OLD KINGSTON VOL FIRE DEPT,"1047 COUNTY ROAD 40 W, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,PRATTMONT BAPTIST CH,election_day,PRATTMONT BAPTIST CH,"814 SMITH AVE, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,TRINITY METHODIST CH,election_day,TRINITY METHODIST CH,"610 FAIRVIEW AVE, PRATTVILLE, AL 36066"
2020-11-03,AL,AUTAUGA,AUTAUGA,UPPER KINGSTON C C,election_day,UPPER KINGSTON C C,"1309 UPPER KINGSTON RD, PRATTVILLE, AL 36067"
2020-11-03,AL,AUTAUGA,AUTAUGA,WHITE CITY FIRE STA,election_day,WHITE CITY FIRE STA,"1151 CO RD 49, MARBURY, AL 36051"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   1 -  LITTLE RIVER VFD,election_day,PREC   1 -  LITTLE RIVER VFD,"71250 STATE HIGHWAY 59, LITTLE RIVER, AL 36550"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   2 - TENSAW NEW VFD,election_day,PREC   2 - TENSAW NEW VFD,"65123 STATE HWY 59, STOCKTON, AL 36579"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   3 - OLD VAUGHN SCHOOL,election_day,PREC   3 - OLD VAUGHN SCHOOL,"55260 COUNTY RD 21, STOCKTON, AL 36579"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   4 - CROSSROADS DURANT CHURCH,election_day,PREC   4 - CROSSROADS DURANT CHURCH,"9551 STATE HIGHWAY 138, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   5 - DOUGLASVILLE BOYKIN CTR,election_day,PREC   5 - DOUGLASVILLE BOYKIN CTR,"900 B STILL BLVD, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   6 - BROMLEY VFD SUBST,election_day,PREC   6 - BROMLEY VFD SUBST,"36625 STATE HIGHWAY 225, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   7 - SPANISH FT NEW LIFE CHURCH,election_day,PREC   7 - SPANISH FT NEW LIFE CHURCH,"10424 US HIGHWAY 31, SPANISH FORT, AL 36527"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   8 - LOXLEY  ELLISVILLE CENTER,election_day,PREC   8 - LOXLEY  ELLISVILLE CENTER,"14090 COUNTY RD 66, LOXLEY, AL 36551"
2020-11-03,AL,BALDWIN,BALDWIN,PREC   9 - LOXLEY CIVIC CENTER,election_day,PREC   9 - LOXLEY CIVIC CENTER,"4198 MUNICIPAL PARK DR, LOXLEY, AL 36551"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 10 - PT CLEAR ST FRANCIS CHURCH,election_day,PREC 10 - PT CLEAR ST FRANCIS CHURCH,"17280 SCENIC HIGHWAY 98, FAIRHOPE, AL 36532"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 11 - LOTTIE VFD,election_day,PREC 11 - LOTTIE VFD,"59591 JACK SPRINGS RD, ATMORE, AL 36502"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 12 - STOCKTON CIVIC BUILDING,election_day,PREC 12 - STOCKTON CIVIC BUILDING,"54060 STATE HIGHWAY 59, STOCKTON, AL 36579"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 13 - RABUN VFD,election_day,PREC 13 - RABUN VFD,"53980 RABUN RD, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 14 - PERDIDO VFD #1,election_day,PREC 14 - PERDIDO VFD #1,"23380 COUNTY RD 47, PERDIDO, AL 36562"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 15 - BAY MINETTE CIVIC CENTER,election_day,PREC 15 - BAY MINETTE CIVIC CENTER,"301 DOLIVE ST, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 16 - PINEGROVE VFD #1,election_day,PREC 16 - PINEGROVE VFD #1,"42245 PINE GROVE RD, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 17 - WHITEHOUSE FORK VFD,election_day,PREC 17 - WHITEHOUSE FORK VFD,"11014 WHITEHOUSE FORK RD EXT, BAY MINETTE, AL 36507"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 18 - STAPLETON VFD,election_day,PREC 18 - STAPLETON VFD,"36276 STATE HIGHWAY 59, STAPLETON, AL 36578"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 19 - GATESWOOD VFD,election_day,PREC 19 - GATESWOOD VFD,"33014 COUNTY HIGHWAY 112, ROBERTSDALE, AL 36567"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 20 - DAPHNE HIGH SCH/TROJAN HALL,election_day,PREC 20 - DAPHNE HIGH SCH/TROJAN HALL,"9160 CHAMPIONS WAY, DAPHNE, AL 36526"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 21 - CLEAR SPRINGS FELLOWSHIP HALL,election_day,PREC 21 - CLEAR SPRINGS FELLOWSHIP HALL,"27889 COUNTY HIGHWAY 112, ROBERTSDALE, AL 36567"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 22 - ROSINTON METHODIST CHURCH,election_day,PREC 22 - ROSINTON METHODIST CHURCH,"26011 BALDWIN BEACH EXPRESS, ROBERTSDALE, AL 36567"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 23 - BELFOREST CHRISTIAN CHURCH,election_day,PREC 23 - BELFOREST CHRISTIAN CHURCH,"25270 COUNTY RD 54 WEST, DAPHNE, AL 36526"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 24 - SILVERHILL COMMUNITY CENTER,election_day,PREC 24 - SILVERHILL COMMUNITY CENTER,"16111 SOUTH AVE, SILVERHILL, AL 36576"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 25 - ROBERTSDALE PZK HALL,election_day,PREC 25 - ROBERTSDALE PZK HALL,"17933 STATE HWY 104, ROBERTSDALE, AL 36567"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 26 -  ELSANOR BETHEL BAPTIST CHURCH,election_day,PREC 26 -  ELSANOR BETHEL BAPTIST CHURCH,"22250 US HIGHWAY 90, ROBERTSDALE, AL 36567"
2020-11-03,AL,BALDWIN,BALDWIN,PREC 27 - SEMINOLE VFD,election_day,PREC 27 - SEMINOLE VFD,"33723 LOST RIVER RD, SEMINOLE, AL 36574"
